timeline,type,id,variants,start_seconds,end_seconds,start_frame,end_frame_exclusive,bus,audio_included,release_eligible,description
canonical-57s,score,projection-wake,promise|progress|completion,0.00,7.00,0,168,music,true,false,Earth-scale navigation intelligence wakes.
canonical-57s,score,solar-route,promise|progress|completion,7.00,20.00,168,480,music,true,false,Known coordinates acquire a restrained harmonic pulse.
canonical-57s,score,heliopause-thins,promise|progress|completion,20.00,27.00,480,648,music,true,false,Familiar sunlight and upper partials fall away.
canonical-57s,score,fold-distance,promise|progress|completion,27.00,38.00,648,912,music,true,false,A stable forward harmonic field supports the warp corridor.
canonical-57s,score,last-light,promise|progress|completion,38.00,48.00,912,1152,music,true,false,Low gravity tension leaves narration intelligible.
canonical-57s,score,data-boundary,promise|progress|completion,48.00,53.00,1152,1272,music,true,false,The harmonic field contracts toward the singularity.
canonical-57s,score,earth-return,promise|progress,53.00,57.00,1272,1368,music,true,false,An unresolved Earth chord restores agency.
canonical-57s,score,beyond-emergence,completion,53.00,57.00,1272,1368,music,true,false,"An open, still-unresolved color field continues beyond."
canonical-57s,sfx,projection-online,promise|progress|completion,0.00,0.90,0,22,effects,true,false,Projection wake and low navigation transient.
canonical-57s,sfx,engine-ignition,promise|progress|completion,0.25,1.60,6,38,effects,true,false,Sample-free ignition bloom.
canonical-57s,sfx,earth-liftoff,promise|progress|completion,2.00,7.00,48,168,effects,true,false,Procedural rocket thrust and diminishing ground resonance.
canonical-57s,sfx,moon-coordinate,promise|progress|completion,7.00,7.30,168,175,effects,true,false,First route-coordinate accent.
canonical-57s,sfx,mercury-coordinate,promise|progress|completion,8.20,8.50,197,204,effects,true,false,Solar coordinate accent.
canonical-57s,sfx,venus-coordinate,promise|progress|completion,9.80,10.10,235,242,effects,true,false,Solar coordinate accent.
canonical-57s,sfx,mars-coordinate,promise|progress|completion,11.60,11.90,278,286,effects,true,false,Solar coordinate accent.
canonical-57s,sfx,jupiter-coordinate,promise|progress|completion,13.70,14.00,329,336,effects,true,false,Solar coordinate accent.
canonical-57s,sfx,saturn-coordinate,promise|progress|completion,15.70,16.00,377,384,effects,true,false,Solar coordinate accent.
canonical-57s,sfx,uranus-coordinate,promise|progress|completion,17.40,17.70,418,425,effects,true,false,Solar coordinate accent.
canonical-57s,sfx,neptune-coordinate,promise|progress|completion,19.00,19.30,456,463,effects,true,false,Last known solar coordinate accent.
canonical-57s,sfx,heliopause-shear,promise|progress|completion,20.00,27.00,480,648,effects,true,false,Filtered solar wind thins into silence.
canonical-57s,sfx,warp-ignition,promise|progress|completion,27.00,28.60,648,686,effects,true,false,Route fold ignition without camera-shake language.
canonical-57s,sfx,warp-corridor,promise|progress|completion,27.00,38.00,648,912,effects,true,false,Stable procedural transit field.
canonical-57s,sfx,gravity-arrival,promise|progress|completion,38.00,39.40,912,946,effects,true,false,Subharmonic arrival at the black-hole approach.
canonical-57s,sfx,accretion-shear,promise|progress|completion,38.00,48.00,912,1152,effects,true,false,Restrained orbital air and low tidal movement.
canonical-57s,sfx,singularity-collapse,promise|progress|completion,48.00,53.00,1152,1272,effects,true,false,The projection contracts at its data boundary.
canonical-57s,sfx,return-fold,promise|progress,53.00,56.20,1272,1349,effects,true,false,Reverse fold returns the projection to Earth.
canonical-57s,sfx,beyond-release,completion,53.00,57.00,1272,1368,effects,true,false,A quiet spectral release continues beyond the old boundary.
canonical-57s,narration,understanding-makes-reachable,promise|progress|completion,1.00,6.20,24,149,voice,false,false,Every world we understand becomes somewhere we can reach.
canonical-57s,narration,discovery-makes-coordinate,promise|progress|completion,8.40,14.20,202,341,voice,false,false,Every discovery gives the voyage another coordinate.
canonical-57s,narration,map-has-no-word,promise|progress|completion,39.40,46.80,946,1123,voice,false,false,"Beyond the last light, the map has no word for what comes next."
canonical-57s,narration,make-one,promise|progress,54.00,56.40,1296,1354,voice,false,false,So we will make one.
reduced-motion-24s,narration,understanding-makes-reachable,promise|progress|completion,0.40,5.31,10,127,voice,false,false,Every world we understand becomes somewhere we can reach.
reduced-motion-24s,narration,discovery-makes-coordinate,promise|progress|completion,5.65,9.47,136,227,voice,false,false,Every discovery gives the voyage another coordinate.
reduced-motion-24s,narration,map-has-no-word,promise|progress|completion,11.90,18.99,286,456,voice,false,false,"Beyond the last light, the map has no word for what comes next."
reduced-motion-24s,narration,make-one,promise|progress,20.80,23.53,499,565,voice,false,false,So we will make one.
